id	ER-ERR1084811_PE	ER-ERR1084806_PE	ER-ERR1084805_PE	ER-ERR1084775_PE	ER-ERR1084765_PE	ER-ERR1084764_PE	ER-ERR1084763_PE	TN-ERR1084799_PE	TN-ERR1084798_PE	TN-ERR1084768_PE	TN-ERR1084766_PE	TN-ERR1084810_PE	TN-ERR1084809_PE	TN-ERR1084808_PE	TN-ERR1084807_PE	TN-ERR1084804_PE	TN-ERR1084803_PE	TN-ERR1084802_PE	TN-ERR1084801_PE	TN-ERR1084800_PE
ENSG00000206120	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206150	1	0	2	2	0	1	0	0	1	3	0	6	0	3	1	1	5	2	1	2
ENSG00000206192	0	2	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0
ENSG00000206249	0	0	0	0	0	1	0	0	4	3	0	0	0	0	0	3	0	1	2	0
ENSG00000206341	0	1	0	1	0	0	0	1	0	0	0	1	2	1	2	1	0	0	0	1
ENSG00000206432	0	0	0	0	0	0	0	1	11	147	32	705	290	0	44	75	16	18	133	383
ENSG00000206503	8	1	2	21	0	0	4	46	0	2	37	158	303	1	690	3	2	12	115	1
ENSG00000206527	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1
ENSG00000206567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000211451	0	10	2	6	0	0	0	2	8	3	2	0	2	0	3	1	3	1	6	1
ENSG00000211455	5	2	8	3	4	2	5	59	24	19	21	15	1	0	49	15	7	35	11	22
ENSG00000212663	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1
ENSG00000212961	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000212993	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0
ENSG00000212994	0	3	0	0	0	1	0	0	0	0	1	0	0	1	0	1	2	0	0	0
ENSG00000213023	1	0	1	4	0	0	0	22	10	18	15	0	3	30	139	0	175	0	0	5
ENSG00000213024	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
ENSG00000213064	0	1	1	1	0	1	0	1	0	1	3	1	1	1	1	0	3	3	1	64
ENSG00000213073	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213081	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	10	0	1	1	1
ENSG00000213084	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213121	5	0	0	4	0	2	0	0	3	1	5	6	3	0	1	1	3	5	3	0
ENSG00000213189	1	0	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0
ENSG00000213214	3	28	9	16	8	9	13	9	1	4	0	36	20	19	9	7	21	4	17	6
ENSG00000213225	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
ENSG00000213235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
ENSG00000213265	10	2	0	5	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	9
ENSG00000213279	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213300	11	0	36	7	9	28	1	110	52	11	1500	603	3	0	16	55	14	40	34	2
ENSG00000213366	7	259	46	4	7	10	7	4	75	44	77	12	25	22	94	157	0	15	7	84
ENSG00000213406	0	0	0	0	0	0	0	7	1	2	1	2	1	1	8	2	0	2	1	7
ENSG00000213411	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000213462	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213463	480	245	444	403	302	286	238	122	88	70	242	150	269	275	327	128	232	171	117	479
ENSG00000213480	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	7	0	0
ENSG00000213625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000213676	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ENSG00000213699	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213763	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213853	7	4	6	12	0	4	3	0	0	0	0	0	6	0	1	4	2	0	3	3
ENSG00000213886	3	0	0	6	0	0	1	1	0	0	59	618	23	0	200	85	1	99	330	2
ENSG00000213888	1	1	0	0	0	1	0	1	0	1	0	0	1	1	1	0	0	0	0	0
