id	NoAdaptersSRR925687_NoPcr__PE	NoAdaptersSRR925688_NoPcr__PE	NoAdaptersSRR925697_NoPcr__PE	NoAdaptersSRR925703_NoPcr__PE	NoAdaptersSRR925714_NoPcr__PE	NoAdaptersSRR925716_NoPcr__PE	NoAdaptersSRR925720_NoPcr__PE	NoAdaptersSRR925721_NoPcr__PE	NoAdaptersSRR925726_NoPcr__PE	NoAdaptersSRR934634_NoPcr__PE	NoAdaptersSRR934636_NoPcr__PE
ENSG00000130758.6	4.55	9.17	5.41	2.69	2.67	13.58	5.37	5.29	5.75	7.08	14.44
ENSG00000130762.13	6.64	19.53	0.01	0.11	0.90	0.68	6.82	3.66	3.05	7.81	0.08
ENSG00000130764.8	26.71	29.19	49.26	30.35	18.94	31.92	32.84	13.00	24.08	23.05	39.97
ENSG00000130766.4	14.57	18.42	5.54	14.20	2.71	9.26	6.43	14.56	3.73	11.96	187.10
ENSG00000130768.13	3.05	5.04	0.07	0.38	0.69	0.21	2.75	5.30	1.30	1.64	0.14
ENSG00000130770.16	349.29	415.08	131.82	171.69	46.48	161.82	198.73	217.35	225.10	227.56	324.04
ENSG00000130772.12	23.53	13.80	13.68	13.62	6.96	10.76	15.32	13.55	9.73	16.27	21.54
ENSG00000130775.14	1.88	0.14	1.36	1.48	2.36	1.34	2.60	7.28	0.92	3.85	10.25
ENSG00000130779.18	6.53	23.40	15.58	25.00	26.00	11.11	19.05	17.18	21.96	21.40	21.26
ENSG00000130787.12	12.77	22.46	5.44	3.22	2.79	5.12	21.14	24.27	19.23	17.57	14.34
ENSG00000130803.13	10.76	8.76	23.23	11.63	15.50	13.42	14.30	10.75	15.35	17.16	33.62
ENSG00000130810.18	38.66	12.33	46.05	15.20	42.54	95.94	57.72	38.68	43.40	97.94	109.58
ENSG00000130811.9	190.67	172.79	188.76	103.72	153.67	372.14	239.16	216.37	230.43	363.48	496.63
ENSG00000130813.16	14.77	22.49	14.42	10.05	6.56	10.47	9.92	16.34	5.95	3.61	25.60
ENSG00000130816.13	60.19	13.39	93.23	90.43	145.05	144.47	74.04	34.21	137.09	92.18	90.03
ENSG00000130818.9	1.75	2.88	3.95	4.47	9.30	2.74	2.60	3.80	2.50	3.44	0.94
ENSG00000130821.14	70.93	24.43	124.58	4.43	63.24	32.97	61.06	51.78	5.81	121.54	89.40
