id	ER-ERR1084763_PE	ER-ERR1084764_PE	ER-ERR1084765_PE	ER-ERR1084775_PE	ER-ERR1084805_PE	ER-ERR1084806_PE	ER-ERR1084811_PE	TN-ERR1084766_PE	TN-ERR1084768_PE	TN-ERR1084798_PE	TN-ERR1084799_PE	TN-ERR1084800_PE	TN-ERR1084801_PE	TN-ERR1084802_PE	TN-ERR1084803_PE	TN-ERR1084804_PE	TN-ERR1084807_PE	TN-ERR1084808_PE	TN-ERR1084809_PE	TN-ERR1084810_PE
ENSMUSG00000032243	5.00	3.00	11.00	17.00	19.00	2.00	15.00	1.00	10.00	7.00	8.00	9.00	2.00	40.00	12.00	8.00	15.00	35.00	3.00	23.00
ENSMUSG00000032323	0.00	0.00	0.00	6.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000032399	3.00	8.00	9.00	26.00	18.00	8.00	10.00	56.00	4.91	14.00	6.00	11.00	5.00	47.00	24.00	27.00	7.00	29.00	15.00	53.00
ENSMUSG00000032487	0.00	0.00	0.00	0.00	7.00	0.00	0.00	12.00	0.00	3.00	9.00	0.00	0.00	8.00	2.00	5.00	1.00	7.00	0.00	0.00
ENSMUSG00000032562	0.00	0.00	0.00	0.00	0.00	0.00	0.00	87.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	37.00
ENSMUSG00000032925	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00
ENSMUSG00000033029	2.86	1.16	0.00	6.42	9.72	0.00	0.00	0.00	1.91	9.28	1.24	14.03	0.00	8.32	6.15	0.00	2.27	18.93	7.50	5.43
ENSMUSG00000033039	30.14	36.84	49.00	99.58	92.28	24.00	44.00	80.00	19.09	49.72	24.76	31.97	40.00	186.68	58.85	87.00	37.73	215.07	46.50	47.57
ENSMUSG00000033825	0.00	0.00	0.00	60.00	2.00	0.00	0.00	3.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00
ENSMUSG00000034320	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000034634	0.00	1.00	1.00	0.00	52.00	4.00	0.00	0.00	0.00	0.00	6.00	1.00	3.00	0.00	1.00	0.00	5.00	2.00	1.00	0.00
ENSMUSG00000034781	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000034902	2.00	2.00	2.00	2.00	4.00	0.00	0.00	1.00	1.00	2.00	2.00	0.00	0.00	0.00	1.00	2.00	0.00	4.00	0.00	0.00
ENSMUSG00000034957	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.00
ENSMUSG00000035067	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00
ENSMUSG00000035133	0.00	2.00	1.00	1.00	2.00	2.00	2.00	1.00	0.00	1.00	0.00	1.00	1.00	1.00	0.00	0.00	0.00	1.00	0.00	1.00
ENSMUSG00000035569	3.00	0.00	2.00	6.00	4.00	0.00	6.00	1.00	3.00	4.00	1.00	4.00	1.00	7.00	1.00	3.00	2.00	9.00	0.00	0.00
ENSMUSG00000035601	0.00	0.00	1.00	0.00	1.00	1.00	2.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	1.00	2.00	0.00	0.00	1.00	0.00
ENSMUSG00000035770	0.00	0.00	0.00	1.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000035783	4.00	4.00	10.00	17.00	21.00	12.00	6.00	2.00	9.00	2.00	7.00	8.00	6.00	14.00	24.00	15.00	9.00	27.00	13.00	11.00
ENSMUSG00000035929	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
