id	NoAdaptersSRR925687_NoPcr__PE	NoAdaptersSRR925688_NoPcr__PE	NoAdaptersSRR925697_NoPcr__PE	NoAdaptersSRR925703_NoPcr__PE	NoAdaptersSRR925714_NoPcr__PE	NoAdaptersSRR925716_NoPcr__PE	NoAdaptersSRR925720_NoPcr__PE	NoAdaptersSRR925721_NoPcr__PE	NoAdaptersSRR925726_NoPcr__PE	NoAdaptersSRR934634_NoPcr__PE	NoAdaptersSRR934636_NoPcr__PE
ENSG00000065970.7	10.55	4.87	9.85	17.89	9.91	7.09	5.50	6.34	5.07	3.87	15.13
ENSG00000065978.16	861.40	544.61	878.00	1075.03	1049.26	708.28	821.72	651.04	695.18	1155.04	1106.63
ENSG00000065989.14	1.07	0.28	14.04	0.82	10.04	16.13	0.47	0.57	13.87	1.61	48.82
ENSG00000066027.10	4.32	9.64	3.48	10.60	3.86	1.83	12.36	4.46	9.06	3.91	6.15
ENSG00000066032.17	0.00	0.00	1.97	0.05	0.00	0.00	0.00	0.77	0.21	0.00	8.36
ENSG00000066044.12	73.09	35.91	94.03	53.98	88.33	61.22	65.51	52.48	83.64	94.31	98.83
ENSG00000066056.12	0.25	0.43	0.20	0.72	0.31	2.19	0.07	0.11	0.30	0.31	0.15
ENSG00000066084.11	12.84	8.57	7.12	10.73	12.78	4.71	9.10	9.76	5.25	10.36	6.56
ENSG00000066117.13	54.07	38.10	40.17	41.09	63.08	27.33	55.99	37.06	50.13	56.02	40.47
ENSG00000066135.11	11.97	16.06	15.53	33.18	26.11	12.07	10.02	11.19	9.98	13.15	42.36
ENSG00000066136.18	52.27	50.07	39.05	37.08	39.93	26.83	37.21	50.10	60.97	41.79	107.58
ENSG00000066248.13	1.73	0.00	0.17	0.51	2.28	0.18	2.93	33.68	11.89	3.63	8.52
ENSG00000066279.15	9.36	7.10	9.36	55.31	24.73	5.66	14.01	0.63	14.90	3.89	1.20
ENSG00000066322.11	181.31	169.10	91.21	126.72	107.56	168.04	135.00	257.34	114.47	184.44	156.30
ENSG00000066379.13	25.17	25.81	34.49	51.00	42.12	28.14	49.64	50.87	34.00	69.88	180.39
ENSG00000066422.4	4.14	4.27	5.51	7.41	5.27	4.25	4.79	2.92	2.69	3.36	4.67
ENSG00000066427.20	6.66	13.29	7.05	48.45	19.49	6.74	8.74	9.86	7.28	2.46	8.06
ENSG00000066455.11	13.55	13.16	11.33	50.86	19.55	7.20	15.84	12.84	8.01	5.83	4.86
ENSG00000066468.19	7.87	16.61	0.70	7.48	0.62	0.07	1.91	0.00	0.00	2.71	0.69
